aad ada Ada
aag aga aga*
aan ana ana
aar ara ara
aas asa ASA*
abc bac bac
abc cab cab
abd dab dab
abi bai bai
abl bal bal
abn ban ban
abo bao bao*(22)
abo boa boa
abr bar bar
abr rab rab
abs bas bas
abt bat bât
abu bau bau
acd dac d'ac*(01)
ace ace ace
acf caf CAF
acf fac fac
acl cal cal
acl lac lac
acm mac mac
acn nac nac(06)
acp cap cap
acr arc arc
acr car car
acs cas cas
acs sac sac
act tac tac
acz zac ZAC(00)
adi aid aïd*(09)
adi dia dia#(08)
adl dal dal*(21)
adl lad lad
adm dam dam
adn dan dan
ado ado ado
ado dao dao
adr rad rad
adz zad ZAD(00)
aeg age age
aeg age âge
aeg age âgé
ael ale ale
aem ame âme
aen ane âne
aer are are
aer rea réa
aes ase ase
aet eta êta
aeu eau eau
aev ave Ave
aex axe axe
aex axe axé
aff faf faf*
afn fan fan
afp paf paf
afq faq FAQ(02)
afr far far
aft fat fat
aft taf taf(00)
afu afu AFU(09)
afx fax fax
agg gag gag
agi agi agi
agi gai gai
agl gal gal
agn gan gan
agp gap gap
agt tag tag
agv gav gav*(22)
agy gay gay
agz gaz gaz
ahi hai haï
ahn han han
ail ail ail
ail lai lai
aim ami ami
aim mai mai
aip api api
air air air
air rai rai
air rai raï
air ria ria
ais ais ais
ais ais aïs
ais sai saï
aiv via via
ajm jam jam*#(01)
ajn jan jan*
ajp jap jap*#(01)
ajr jar jar*
ajs jas jas
akn kan kan*
ako oka oka
aks kas kas
aks ska ska
akw kwa kwa(00)
aky yak yak
alm mal mal
alo lao lao
alo ola ola
alp pal pal
als las las
als sal sal
alu alu alu
alv val val
alv vla v'là*(01)
amn man man
amo mao mao*#(01)
amo moa moa
amr ram RAM
ams mas mas
amt mat mat
amt mat mat'*#(06)
amt mat mât
amx max max*(01)
anp nap NAP*
anp pan pan
ans ans ans
ant tan tan
anv van van
any nay nay(00)
aot tao tao
app app app*#(20)
apr par par
apr rap rap
aps pas pas
aps spa spa(04)
apt pat pat
apw wap WAP(02)
aqt qat qat
ars ars ars
ars ras ras
ars sar sar
art art art
art rat rat
art tar tar(00)
art tar târ(00)
arv var var
ary ray ray
arz raz raz
ass sas sas
ast tas tas
asx sax sax*
att tat TAT
atu tau tau
auv vau vau
aux aux aux
awx wax wax
bbi bib bib*#(21)
bbo bob bob
bce bec bec
bci bic Bic
bco cob cob
bde deb deb
bde deb déb*#(05)
bdu dub dub(12)
bee bee bée
bee bee béé
bel bel bel
bel ble blé
ben ben ben
ber ber ber
beu beu beu*#(16)
beu bue bue
bew web web(00)
bey bey bey
bfi bif bif*#(01)
bfo bof bof*
bfo fob fob*#
bgu bug bug
bhu hub hub(05)
bin nib nib
bio bio bio
bio obi obi
bip bip bip
bip pib PIB(13)
bir rib RIB
bis bis bis
bit bit bit
bjo job job
bko kob kob
blo bol bol
blo lob lob
bmo mob mob
bno bon bon
bnu bun bun
bop bop bop
bor rob rob*
bot bot bot
box box box
boy boy boy
boz zob zob*
bpu pub pub
bru bru bru
bsu bus bus
btu but but
btu tub tub
cde dec déc'*#
cdo doc doc
cdu duc duc
cel cle clé
cem mec mec
cep cep cep
cer cre cré*(01)
ces ces ces
ces sec sec
cet cet cet
cet tec tec
ceu ecu ecu(05)
ceu ecu écu
cez zec ZEC(00)
cfi fic fic
cfo foc foc
chi hic hic
chu chu chu
cii ici ici
cil cil cil
cio coi coi
cip pic pic
cir cri cri
cis cis cis
cis sic sic
cit tic tic
clo col col
clu cul cul
cmo com com(05)
cno con con
cno onc onc
coq coq coq
cor cor cor
cor roc roc
cos cos COS(00)
cos soc soc
cot toc toc
cou cou cou
cox cox cox*(07)
cpu cup cup*(21)
cru cru cru
cru cru crû
csu suc suc
ctu cut cut(00)
dei ide ide
del del DEL
del led led*(10)
dem dem dém*#(05)
deo deo déo*#
deo ode ode
dep ped pèd*#(04)
der der der
des des des
des des dès
des des dés
deu due due
dey dey dey
din din DIN*
din nid nid
dit dit dit
dix dix dix
dlo dol dol
dmo dom dom
dno don don
dos dos dos
dot dot dot
dou duo duo
dou oud oud(00)
doy yod yod
dru dru dru
dru dur dur
dry dry dry
dsu dus dus
dsu sud sud
dsy dys dys(20)
eef fee fée
een nee née
eer ere ère
eer ree réé
eet ete été
eet tee tee
eeu eue eue
eev eve Ève(12)
eez zee zée
efi fie fié
efn nef nef
efr fer fer
efu feu feu
efz fez fez
efz zef zef(00)
egl gel gel
ego ego ego
ego ego égo~(12)
ego geo géo*(01)
egr erg erg
egr gre gré
egr reg reg
egu gue gué
ehi hie hie
eht the thé
ehu heu heu*
ehu hue hué
eil ile ile~(12)
eil ile île
eil lei lei
eil lie lie
eil lie lié
eim mie mie
ein nie nié
eio oie oie
eip epi épi
eip ipe ipé(00)
eip pie pie
eir ire ire
eiv ive ive
eiv vie vie
eix ixe ixé*
ejt jet jet
eju jeu jeu
ekl lek lek
ekt ket ket(11)
ekt tek tek
elp pel PEL*(15)
els les les
els les lès
els les lés
els sel sel
elt let let
elt tel tel
elu elu élu
elu leu leu
elu lue lue
elv lev lev
elz lez lez
emn nem nem
emr mer mer
emr rem rem
ems mes mes
emu emu ému
emu mue mue
emu mue mué
emy mye mye
eno eon éon
eno neo néo*(01)
ens nes nes*#(01)
ens nes nés
ens sen sen
ent net net
ent ten ten#(05)
enu nue nue
enu nue nué
enu une une
eny ney ney(00)
eny yen yen
enz nez nez
enz zen zen
eop ope ope*
eor ore öre
eos ose ose
eos ose osé
eot ote ôté
eov ove ove
eov ove ové
eox exo exo*#(09)
eoz zoe zoé
epp pep pep
epr pre pré
epr rep rep(17)
eps sep sep
eps spe spé*#
ept pet pet
ept tep tep
epu peu peu
epu pue pué
epz zep ZEP(00)
equ que que
ers ers ers
ert ter ter
eru rue rue
eru rue rué
eru ure ure
erv ver ver
ery rye rye
ess ses ses
est est est
est set set
est tes tes
est tes tés
esu eus eus
esu sue sue*
esu sue sué
esu use usé
esv ves vés
ett tet tet(02)
