aabcelsu abacules abacules*
aabeeiss abaissee abaissée
aabeirss abaisser abaisser
aabeisss abaisses abaisses
aabeisss abaisses abaissés
aabejosu abajoues abajoues
aabelnos abalones abalones*
aabdnnos abandons abandons
aaabegst abatages abatages*
aaabdirt abatardi abâtardi
aabjortu abatjour abat-jour
aabnosst abatsons abat-sons
aaabegtt abattage abattage
aaabnttt abattant abattant
aabeestt abattees abattées
aaberttu abatteur abatteur
aabiortt abattoir abattoir
aabesttu abattues abattues
aabenttv abatvent abat-vent;appareil placé sur une cheminée pour faciliter le tirage
aabiotvx abatvoix abat-voix*;dais placé au-dessus d'une chaire pour rabattre la voix vers l'auditoire
aaabbilt abbatial abbatial
abbeesss abbesses abbesses
aabcdent abcedant abcédant;s'abcéder : devenir le siège d'un abcès
abcdeees abcedees abcédées
abdeeiqu abdiquee abdiquée
abdeiqru abdiquer abdiquer
abdeiqsu abdiques abdiqués
abdemnos abdomens abdomens
abeeills abeilles abeilles
abeeilns abeliens abéliens
aabenrrt aberrant aberrant
abeehorr abhorree abhorrée
abehorrr abhorrer abhorrer
abehorrs abhorres abhorrés
abceejst abjectes abjectes
aabjnrtu abjurant abjurant;abjurer(vt) : renoncer solennellement
abeejrsu abjurees abjurées
aabehksz abkhazes abkhazes°(02)
aaablntt ablatant ablatant*;ablater(vt) : produire une ablation
aabeelst ablatees ablatées*
aabfilst ablatifs ablatifs
aabilnot ablation ablation
aabeiltv ablative ablative*;propre à l'ablation
aabeglst ablegats ablégats*
abeelrst ablerets ablerets*
abeelstt ablettes ablettes
aabilnos ablonais ablonais°(01);d'Ablon-sur-Seine dans le Val-de-Marne
abilnotu ablution ablution
aabeiotu aboiteau aboiteau*(07);digue de terre
abeeimno abominee abominée
abeimnor abominer abominer
abeimnos abomines abominés
aabdnnot abondant abondant
abdeenos abondees abondées*(07)
aabnnnot abonnant abonnant
abeennos abonnees abonnées
abeinnos abonnies abonnies
aabdegor abordage abordage
aabdnort abordant abordant
abdeeors abordees abordées
abfiorst abortifs abortifs
abeiortv abortive abortive
abceehou abouchee abouchée
abcehoru aboucher aboucher
abcehosu abouches abouchés
aablnotu aboulant aboulant
abeelosu aboulees aboulées
abeilosu aboulies aboulies
aabegotu aboutage aboutage(00)
aabnottu aboutant aboutant
abeeostu aboutees aboutées
abeiostu abouties abouties
abeorsuy aboyeurs aboyeurs
abeeosuy aboyeuse aboyeuse
aaabnrst abrasant abrasant
aabeerss abrasees abrasées
aabfirss abrasifs abrasifs
aabinors abrasion abrasion
aabeirsv abrasive abrasive
abeeegrs abregees abrégées
abeeeruv abreuvee abreuvée
abeerruv abreuver abreuver
abeersuv abreuves abreuvés
abceiort abricote abricoté
abciorst abricots abricots
aabinrtt abritant abritant
abeeirst abritees abritées
abeinrtv abrivent abrivent
abeegors abrogees abrogées
abeprstu abruptes abruptes
abeirstu abruties abruties
abceisss abscisse abscisse
abcenoss absconse absconse
abceenss absences absences
abeeenst absentee absentée
abeenrst absenter absenter
abeensst absentes absentes
abeensst absentes absentés
aabdeils absidale absidale
aabdisux absidaux absidaux;absidal(ou absidial) : lié à l'abside (extrémité arrondie d'une église derrière le chœur) d'une église
aabdiils absidial absidial;(ou absidal)
abehinst absinthe absinthe
abelossu absolues absolues
abbeeors absorbee absorbée
abbeorrs absorber absorber
abbeorss absorbes absorbés
abdeorsu absoudre absoudre;(vt) exempter de sa peine l'auteur d'une infraction
abeosstu absoutes absoutes
abeemsst abstemes abstèmes
abeinrst abstenir abstenir
abeenstu abstenue abstenue
abensstu abstenus abstenus
aabcrstt abstract abstract;résumé d'un texte
aabirstt abstrait abstrait
abersstu abstruse abstruse
abderssu absurdes absurdes
aberssuu abuseurs abuseurs*(07)
abeessuu abuseuse abuseuse*(07);trompeuse
abeissuv abusives abusives
aabelssy abyssale abyssale
aabssuxy abyssaux abyssaux
abeinssy abyssine abyssine
abinsssy abyssins abyssins
aacdeeim academie académie
aacdeins acadiens acadiens
aaceehlp acalephe acalèphe;méduse
aacehnst acanthes acanthes
aaacellp acapella a capella*(00);a cappella
aaacellp acapella à capella~(12)
aaceinrs acariens acariens
aabcceel accablee accablée
aabccelr accabler accabler
aabccels accables accablés
aacceilm accalmie accalmie
aaaccepr accapare accaparé
aaccdent accedant accédant
acceeelr accelere accéléré
acceentu accentue accentué
acceeept acceptee acceptée
acceeprt accepter accepter
acceepst acceptes acceptés
acceisst accessit accessit
accdeint accident accident
aacceelm acclamee acclamée
aaccelmr acclamer acclamer
aaccelms acclames acclamés
acceinot accointe accointé;s'accointer : se lier avec quelqu'un
aaccdelo accolade accolade
aacceglo accolage accolage;fixation de rameaux à des piquets
aacclnot accolant accolant
acceelos accolees accolées
accilmop accompli accompli
aaccegno acconage acconage;(ou aconage)
acceinor acconier acconier;(ou aconier)
accdeeor accordee accordée
accdeorr accorder accorder
accdeors accordes accordés
acceorst accortes accortes
acceeost accostee accostée
acceorst accoster accoster
acceosst accostes accostés
aaccnott accotant accotant
acceeost accotees accotées
accioort accotoir accotoir;accoudoir
acccehou accouche accouché
accdeeou accoudee accoudée
accdeoru accouder accouder
accdeosu accoudes accoudés
accelopu accouple accouple;lien pour attacher ensemble les chiens de chasse
accelopu accouple accouplé
acccioru accourci accourci;accourcir(vt) : rendre plus court
acciorru accourir accourir
acceoruu accourue accourue
accorsuu accourus accourus
acceortu accoutre accoutré
acceeert accretee accrétée
acceerrt accreter accréter(00)
acceerst accretes accrétés
acccehor accroche accroche
acccehor accroche accroché
acceiorr accroire accroire
acciopru accroupi accroupi
acceilsu accueils accueils
aacclntu acculant acculant;acculer(vt) : pousser dans un lieu sans issue
acceelsu acculees acculées
accelmuu accumule accumulé
aaccnstu accusant accusant
acceessu accusees accusées
aaceehlp acephale acéphale;sans tête
aacceeer aceracee acéracée;arbre à grandes feuilles opposées comme l'érable
abceeirt acerbite acerbité
aacelors acerolas acerolas*(13)
aacelors acerolas acérolas*(13)
aceelors aceroles acéroles(17)
acceenst acescent acescent;qui devient acide
aaceestt acetates acétates
aceefiit acetifie acétifié;acétifier(vt) : convertir du vin en vinaigre
aceeiqtu acetique acétique;acide acétique : produit d'oxydation de l'éthanol CH3CO2H
aceenost acetones acétones
aceelsty acetyles acétyles
aacehins achaines achaines
aaachlnt achalant achalant(03);qui cause du désagrément
aaceehls achalees achalées(03)
aaceehnr acharnee acharnée
aacehnrr acharner acharner
aacehnrs acharnes acharnés
aceeehnn acheenne achéenne
aceehimn achemine acheminé
aacehntt achetant achetant
aceeehst achetees achetées
aceehrtu acheteur acheteur
aacehntv achevant achevant
aceeehsv achevees achevées
aacghins achigans achigans
aceehill achillee achillée;plante à feuilles découpées et à fleurs jaunes ou blanchâtres
acehilos acholies acholies
aceehopp achoppee achoppée*
acehoppr achopper achopper
acehopps achoppes achoppés*
aachorsu achouras Achouras
aachmort achromat achromat;combinaison de lentilles constituant un système achromatique
acehmors achromes achromes
acehimor achromie achromie;défaut de pigmentation de la peau
acehilsy achylies achylies
aacdeiil acidalie acidalie*;petit papillon nocturne
acdefiii acidifie acidifié
acdeiist acidites acidités
aacdijzz acidjazz acid jazz(00);musique anglaise associant le rap au jazz ou à la soul ou au funk
acdeioss acidoses acidoses
accdikor acidrock acid rock(05);musique californienne traduisant les sensations sous stupéfiants
acdeeilu acidulee acidulée
acdeilru aciduler aciduler
acdeilsu acidules acidulés
aaceegir acierage aciérage;transformation en acier
aaceinrt acierant aciérant
aceeeirs acierees aciérées
aceeiirs acieries aciéries
aceeiins acinesie acinésie;(ou akinésie) symptôme neurologique consistant en une difficulté à réaliser des mouvements
aceeinsu acineuse acineuse;glande acineuse : glande dont les parties sécrétrices sont des acini
aceeimms acmeisme acméisme;école littéraire russe
