aaabinsst abaissant abaissant
aabeeisss abaissees abaissées
aabeirssu abaisseur abaisseur;(ou muscle abaisseur) qui abaisse une partie du corps
aabdennno abandonne abandonné
aabdiorsu abasourdi abasourdi
aaabdeirt abatardie abâtardie
aaabdirrt abatardir abâtardir
aaabdirst abatardis abâtardis
aabjorstu abatjours abat-jours*(09)
aaabbeltt abattable abattable
aaabegstt abattages abattages
aaabnsttt abattants abattants
aabersttu abatteurs abatteurs
aabeesttu abatteuse abatteuse*(19)
aabiorstt abattoirs abattoirs
aabensttv abatvents abat-vents*
aabbdeiss abbasside abbasside;qui se rapporte aux Abbassides ou fait partie de cette dynastie
aaabbeilt abbatiale abbatiale
aaabbitux abbatiaux abbatiaux
aabdinqtu abdiquant abdiquant
abdeeiqsu abdiquees abdiquées
aabdilmno abdominal abdominal
abcdertuu abducteur abducteur;(ou muscle abducteur) qui produit l'abduction (mouvement par lequel un membre s'écarte sur le côté)
abcdinotu abduction abduction;mouvement par lequel un membre s'écarte sur le côté
abeeeilnn abelienne abélienne
aabeinqsu abenaquis abénaquis*(07);peuple amérindien
aabceenrr aberrance aberrance
aabeenrrt aberrante aberrante
aabenrrst aberrants aberrants
aabhnorrt abhorrant abhorrant
abeehorrs abhorrees abhorrées
aabceeeit abietacee abiétacée;(ou abiétinée) pinacée
abeeeiint abietinee abiétinée;(ou abiétacée) pinacée
abeiioqtu abiotique abiotique;se dit d'un facteur écologique indépendant des êtres vivants
abceijnot abjection abjection
aabeilnst ablastine ablastine*;anticorps empêchant la reproduction des cellules infectieuses
aabilnost ablations ablations
aabeilstv ablatives ablatives*
aabeilnos ablonaise ablonaise°(01)
abilnostu ablutions ablutions
abeeimnot aboiement aboiement
aabeiotux aboiteaux aboiteaux*(07)
abiilnoot abolition abolition
aabimnnot abominant abominant
abeeimnos abominees abominées
aabcdenno abondance abondance
aabdennot abondante abondante
aabdnnost abondants abondants
aabbdelor abordable abordable
aabdegors abordages abordages
abeeginor aborigene aborigène
abeiorstv abortives abortives
aabchnotu abouchant abouchant;aboucher(vt) : appliquer l'un contre l'autre des conduits par leurs ouvertures
abceehosu abouchees abouchées
abeiloquu aboulique aboulique;atteint d'aboulie
aabegostu aboutages aboutages(00)
abeeossuy aboyeuses aboyeuses
aabinorss abrasions abrasions
aabeirssv abrasives abrasives
aabeegnrt abregeant abrégeant
aabenrtuv abreuvant abreuvant
abeeersuv abreuvees abreuvées
abeiorruv abreuvoir abreuvoir
abceeiort abricotee abricotée
abceiorrt abricoter abricoter(12);(vt) : napper un gâteau d'une couche de confiture d'abricots
abceiorst abricotes abricotés
abeinrstv abrivents abrivents
aabfgiort abrogatif abrogatif;(ou abrogatoire) qui annule une loi ou un règlement
aabegnort abrogeant abrogeant
abceissss abscisses abscisses
abcenosss absconses absconses
aabennstt absentant absentant
abeeensst absentees absentées
aabdeilss absidales absidales
aabdeiils absidiale absidiale
aabdiisux absidiaux absidiaux;(ou absidaux)
abdeiilos absidiole absidiole;petite chapelle s'ouvrant sur l'abside ou le transept
