aaaabikll balalaika balalaïka
aaaabjlmy jambalaya jambalaya(12)
aaaacdimm macadamia macadamia(04)
aaaacdjnr jacaranda jacaranda
aaaacirru araucaria araucaria
aaaaclrsz alcarazas alcarazas
aaaacmnrt catamaran catamaran
aaaadhjmr maharadja maharadja*
aaaadillm dalailama dalaï-lama
aaaahhjmr maharajah maharajah*#
aaaahjmrs maharajas maharajas
aaaahmnsy mahayanas mahayanas
aaaajnrvy vajrayana vajrayana(05)
aaaakknst katakanas katakanas(15)
aaaaklrsz kalaazars kala-azars
aaaallmmy malayalam malayalam
aaabbblll blablabla bla-bla-bla
aaabbblll blablabla blablabla~(12)
aaabbcenr barbacane barbacane
aaabbeilt abbatiale abbatiale
aaabbeltt abattable abattable
aaabbitux abbatiaux abbatiaux
aaabcclms calambacs calambacs
aaabcclnt accablant accablant
aaabccrst baccarats baccarats
aaabcdrru barracuda barracuda
aaabcdstu batucadas batucadas(11)
aaabceghr rabachage rabâchage
aaabcemrt carbamate carbamate
aaabcenrs sarbacane sarbacane
aaabchirs charabias charabias
aaabchnrt rabachant rabâchant
aaabcilrs calabrais calabrais*
aaabcintt antitabac antitabac
aaabcistt ciabattas ciabattas(17)
aaabclmnt cambalant cambalant(10)
aaabclnnt balancant balançant
aaabclnst bataclans bataclans
aaabcnorr carbonara carbonara(08)
aaabcprsy capybaras capybaras(00)
aaabdegrv bavardage bavardage
aaabdeirt abatardie abâtardie
aaabdelpt adaptable adaptable
aaabdemss ambassade ambassade
aaabdenrs sarabande sarabande
aaabdertu batardeau batardeau
aaabdgmnt gambadant gambadant
aaabdirrt abatardir abâtardir
aaabdirst abatardis abâtardis
aaabdnrtv bavardant bavardant
aaabdnrtz bazardant bazardant
aaabeggir gabariage gabariage*
aaabeghnu haubanage haubanage
aaabeglsy balayages balayages
aaabegrtt barattage barattage
aaabegrtt rabattage rabattage
aaabegsst tabassage tabassage
aaabegstt abattages abattages
aaabehnrs habaneras habaneras
aaabehnrs habaneras habanéras*~(19)
aaabeilns albanaise albanaise
aaabelmrs malabares malabares°(01)
aaabenprs panarabes panarabes*#
aaabeprss parabases parabases*
aaabflnrt balafrant balafrant
aaabghlnu galhauban galhauban
aaabginrt gabariant gabariant*
aaabgnnpt panbagnat pan-bagnat
aaabgnrrt bagarrant bagarrant
aaabgrstu rutabagas rutabagas
aaabhlrtz balthazar balthazar
aaabhnntu haubanant haubanant
