aabt abat abat;pluie d'abat : averse violente et abondante
abbe abbe abbé
abee abee abée;ouverture donnant passage à l'eau qui tombe sur la roue d'un moulin
aber aber aber;ria
abio aboi aboi
abir abri abri
absu abus abus
aaci acai açai(12);baie rouge pourpre
aaci acai açaï*(18);ou açai
accu accu accu
aces aces aces
aceh ache ache;plante à feuilles découpées et à petites fleurs blanches
acem acme acmé;point culminant
acen acne acné
acno acon acon;(ou accon) chaland à fond plat pour le chargement des navires
aacr acra acra
acer acre acre
acer acre âcre
acet acte acte
acet acte acté
actu actu actu(07);actualité
aclu acul acul*;fond d'un parc à huîtres du côté de la mer
ados ados ados
adee aede aède;poète grec de l'époque primitive
aeer aere aéré
aaft afat AFAT;auxiliaire féminine de l'armée de terre
afor afro afro;se dit d'une coiffure dont les cheveux forment une masse volumineuse autour du visage
afsu afus AFUs(12)
aags agas agas*
aeeg agee âgée
aegs ages ages
aegs ages âges
aegs ages âgés
aagh agha agha;(ou aga)
aegi agie agie
agio agio agio
agir agir agir
agis agis agis
agiu agui agui;noeud d'agui : boucle formée par un noeud de chaise
aahn ahan ahan;souffle bruyant marquant un effort pénible
adei aide aide
adei aide aidé
adis aids aïds*(09)
agiu aigu aigu
aeil aile aile
aeil aile ailé
ails ails ails
aeim aime aimé
aein aine aine
aein aine ainé~(12)
aein aine aîné
aeir aire aire
aeir aire airé;airer(vi) : faire son nid pour les oiseaux de proie
airs airs airs
aeis aise aise
aeis aise aisé
aisy aisy aisy;liquide acide
ajtu ajut ajut*;action de joindre
aael alea aléa
aels ales ales
aafl alfa alfa;herbe d'Afrique du Nord et d'Espagne appelée aussi spart
aell alle allé
ailo aloi aloi
aelp alpe alpe
ailt alti alti*(10)
alot alto alto
alnu alun alun
alsu alus alus
aaly alya alya(07);émigration vers Israël des Juifs de la Diaspora
aamn aman aman;dans l'islam octroi de la vie sauve à un ennemi vaincu
aamp amap AMAP(13);Association pour le Maintien d'une Agriculture Paysanne
aams amas amas
aemn amen amen
aemr amer amer
aems ames âmes
aeim amie amie
aims amis amis
aimm ammi ammi*;plante ammophile herbacée et annuelle
akmo amok amok;accès de folie meurtrière observée chez les Malais
aimu amui amuï;s'amuïr : devenir muet
aaln anal anal
aanr anar anar
aans anas anas*
aens anes ânes
aegn ange ange
ains anis anis
anno anon ânon
aens anse anse
aens anse ansé
aent ante ante;pilier
ansu anus anus
aotu aout aout~(12)
aotu aout août
aapx apax apax*;(ou hapax) attestation isolée
aepx apex apex;pointe d'un organe animal ou végétal
acip apic à-pic
aips apis apis
apps apps apps*#(20)
aepr apre âpre
aept apte apte
aacr arac arac;(ou arak ou arack) eau-de-vie tirée de la distillation de différents produits fermentés
aakr arak arak;(ou arac ou arack) eau-de-vie tirée de la distillation de différents produits fermentés
aars aras aras
abir arbi arbi*;indigène d'Afrique du Nord
acrs arcs arcs
adru ardu ardu
acer arec arec;(ou aréquier) palmier à tige élancée
aegr areg areg*;erg
aers ares ares
aair aria aria;souci ou mélodie vocale ou instrumentale avec accompagnement
aemr arme arme
aemr arme armé
arst arts arts
arty arty arty*(16);qui a des prétentions artistisques
amru arum arum
aess ases ases
acis asic ASIC*;circuit intégré
aeps aspe aspe;(ou asple) dévidoir qui sert à tirer la soie des cocons
aips aspi aspi*(01);aspirant
aoss asso asso*#(16);association
aist asti asti
aert ater ater(00);titulaire d'un doctorat
aert atre âtre
abeu aube aube
aegu auge auge
aalu aula aula;grande salle en Suisse
alux aulx aulx
aenu aune aune;arbre de la classe des bétulacées ou bétulinées croissant dans les lieux humides ou ancienne mesure de longueur de tissu
aenu aune auné*#(00);auner(vt)(caché à aune) : mesurer à l'aune
aaru aura aura
aotu auto auto
aalv aval aval;engagement d'une personne à payer un effet commercial ou caution ou garantie ou partie du cours d'eau entre un point et l'embouchure
acev avec avec
aenv aven aven
aeuv aveu aveu
aisv avis avis
aeex axee axée
aelx axel axel;saut avec rotation du corps en patinage artistique
aerx axer axer
aesx axes axes
aesx axes axés
aisx axis axis;2è vertèbre cervicale
aaox axoa axoa(09);spécialité basque de hachis de veau accommodé en ragoût au piment d'Espelette
aruz azur azur
aabb baba baba
abby baby baby
abcs bacs bacs
abde bade badé(06);bader(vi) : se promener sans but
abes baes baes(00);(prononcer basse) patron de café
aabf bafa BAFA(09);brevet d'aptitude aux fonctions d'animateur
abht baht baht;monnaie de Thaïlande
abei baie baie
abil bail bail
abin bain bain
abis bais bais
abel bale bale;(ou balle) enveloppe du grain des céréales
abls bals bals
abcn banc banc
abgn bang bang
abns bans bans
abos baos baos*(22)
abdr bard bard*;grande civière à claire-voie
abnr barn barn;unité de mesure de superficie
abrs bars bars
abes base base
abes base basé
abis basi bâsi(06);bâsir(vi) : partir
abet bate bâté
abht bath bath
abit bati bâti
abst bats bâts
abdu baud baud;unité de modulation des signaux
abux baux baux
abev bave bave
abev bave bavé
abey baye bayé;bayer(vi) : rêvasser ou rester la bouche ouverte
abet beat beat;temps fort d'une mesure
abet beat béat
abeu beau beau
bbee bebe bébé
bces becs becs
bdee bede bédé
beer beer béer;v.i
bees bees bées
begu begu bégu;désigne un cheval dont le cornet des incisives reste longtemps visible
beek beke béké;créole antillais descendant de colons blancs
beel bele bêlé
bels bels bels
bein beni béni
bens bens bens*#(01);bénard(pantalon)
bers bers bers
abet beta bêta
beet bete bête
behu beuh beuh*(16)
beru beur beur
besu beus beus*#(16)
besy beys beys
bbii bibi bibi;moi ou petit chapeau de femme
bbis bibs bibs*#(21)
bcis bics Bics
bdei bide bide
befi bief bief;section de canal entre deux écluses
bein bien bien
bfis bifs bifs*#(01)
bgio bigo bigo*#(01);abréviation de bigophone
beil bile bile
beil bile bilé
bill bill bill;projet de loi dans les pays anglo-saxons
bein bine biné
bgin bing bing*;onomatopée reproduisant un choc
bins bins bin's;(ou binz) chose déplaisante ou chahut
binz binz binz;(ou bin's) chose déplaisante ou chahut
bios bios bios
beip bipe bipé
bips bips bips
birr birr birr;unité militaire éthiopienne
beis bise bise
beis bise bisé
beit bite bite
beit bite bité*;biter ou bitter(vt) : comprendre
bist bits bits
abiw biwa biwa;instrument japonais voisin du luth
bdel bled bled
bels bles blés
belt blet blet
belu bleu bleu
bblo blob blob(21);surnom donné par les chercheurs au myxomycète (champignon proche du règne animal)
bclo bloc bloc
bglo blog blog(06)
abos boas boas
bboo bobo bobo
bbos bobs bobs
bcko bock bock;verre à bière d'un quart de litre
bdoy body body;justaucorps
bios bois bois
blos bols bols
bemo bome bôme;mat horizontal sur lequel est fixée la voile aurique
bemo bome bômé;pourvu d'un mât sur lequel fixer les voiles auriques
bdno bond bond
bino boni boni;excédent de recettes
bnos bons bons
bkoo book book;press-book : ensemble de photos d'un mannequin ou d'articles d'un artiste
bmoo boom boom;hausse subite
bops bops bops
abor bora bora;vent froid venant de l'Est soufflant sur l'Adriatique
bdor bord bord
beor bore bore;corps chimique de numéro atomique 5
bort bort bort*;diamant utilisé dans l'industrie pour sa dureté
boss boss boss
beot bote bote
bost bots bots
bcou bouc bouc
beou boue boue
bmou boum boum
boru bour bour(00);désigne une zone de culture sèche au Maroc
botu bout bout
beox boxe boxe
beox boxe boxé
bosy boys boys
abir brai brai;résidu de la distillation de la houille
abnr bran bran*;(ou bren) partie grossière du son ou excrément
abrs bras bras
befr bref bref
benr bren bren*;(ou bran) partie grossière du son ou excrément
beir brie brie
beir brie brié(13);pain brié : pain à croûte striée et mie compacte spécialité normande
bikr brik brik(07);galette dans laquelle est cuite un oeuf en Tunisie
binr brin brin
bior brio brio
birs bris bris
bcor broc broc
blor brol brol(00);désordre en Belgique
boru brou brou;enveloppe de fruits à écale comme la noix
bnru brun brun
brsu brus brus
brtu brut brut
beeu buee buée
besu bues bues
bgsu bugs bugs
bisu buis buis
bllu bull bull;bulldozer
abnu buna Buna;(nom déposé) caoutchouc synthétique résultant de la polymérisation du butadiène
bnsu buns buns
beru bure bure;étoffe de laine grossière ou vêtement long fait avec cette étoffe
bcsu busc busc;coude de la crosse d'un fusil ou baleine de corset
besu buse buse
besu buse busé;buser(vt) : recaler à un examen en Belgique
bhsu bush bush;broussaille d'épineux courante
betu bute buté
botu buto buto*(08);ankoku-butô (école de danse récente où les danseurs sont poudrés de blanc)
botu buto butô(02)
bstu buts buts
buzz buzz buzz(10);forme de publicité dans laquelle le consommateur contribue à lancer un produit ou un service via des courriels ou des médias en ligne
bety byte byte*;octet (ensemble de huit bits)
abcs cabs cabs
aacc caca caca
acde cade cade;genévrier méditerranéen dont la distillation du bois donne un goudron utilisé en dermatologie
acdi cadi cadi
acef cafe café
acfs cafs CAFs*(15)
aceg cage cage
acdi caid caïd
acek cake cake
acel cale cale
acel cale calé
acfl calf calf*;cuir de veau tanné au chrome
aclo calo calo;argot espagnol actuel très influencé par les langues tziganes
acls cals cals
acem came came
acem came camé
acmp camp camp
acen cane cane
acen cane cané;caner : reculer devant la difficulté ou mourir
acep cape cape
acep cape capé;caper(vt) : envelopper un cigare avec la cape (feuille de tabac)
acps caps caps
acir cari cari;(ou cary ou carry) épice d'origine indienne mélange de piment de coriandre de gingembre et de graines comme le curcuma
acrs cars cars
acry cary cary;ou carry ou cari
aces case case
aces case casé
achs cash cash
aact cata cata(01)
acet cate caté*#(01)
acit cati cati;catir(vt) : lustrer des étoffes avec un apprêt
acev cave cave
acev cave cavé
bcee cebe cébé*#(16);(caché à CB) carte bleue ou carte bancaire
ccei ceci ceci
cdee cede cédé
cdei cedi cedi;unité monétaire du Ghana
acel cela cela
ceel cele celé;celer(vt) : (Littéraire) Cacher, tenir secret, ne pas révéler. 
ceen cene cène;repas de Jésus-Christ avec les apôtres ou par commémoration repas liturgique
cens cens cens;recensement dans l'Antiquité à Rome ou redevance due au seigneur d'un fief ou montant d'impôt qui était nécessaire pour être électeur
cent cent cent
ceep cepe cèpe
ceps ceps ceps
cefr cerf cerf
cers cers cers;vent d'est ou de sud-est dans le Languedoc
ceux ceux ceux
abch chab chab*(09);(ou chaba ou cheb ou cheba) au Maghreb jeune ou jeune interprète de raï
achh chah chah;(ou shah) titre des rois et empereurs perses
achi chai chai
achr char char
achs chas chas
acht chat chat
bceh cheb cheb*(09);(ou cheba ou chab ou chaba) au Maghreb jeune ou jeune interprète de raï
cefh chef chef
cehr cher cher
cehz chez chez
achi chia chia(19);plante herbacée originaire du Mexique
cchi chic chic
cehi chie chié
chip chip chip*;pastille de silicium sur laquelle sont fabriqués les circuits et spécialement les microprocesseurs
ccho choc choc
chou chou chou
chit chti ch'ti*#(10)
chit chti chti#(01)
cehu chue chue
chmu chum chum(01);petit ami ou concubin au Canada
chsu chus chus
chtu chut chut*
achv chva chva;(ou schwa) qualifie le e muet voyelle instable
acio ciao ciao*(09)
ceil ciel ciel
cils cils cils
ceim cime cime
cein cine ciné
cinq cinq cinq
ceir cire cire
ceir cire ciré
ceit cite cité
ceiv cive cive;(ou ciboule) plante sibérienne de la famille des liliacées
aclm clam clam;mollusque comestible bivalve proche de la palourde
acln clan clan
aclp clap clap
cefl clef clef
cels cles clés
ccil clic clic
cilm clim clim(05)
ciln clin clin
cilp clip clip;petite pince à ressort sur laquelle est montée un bijou ou agrafe ou fixation ou courte production destinée à présenter un artiste et son œuvre
clmo clom clom*#(16);caché à mooc
clos clos clos
clou clou clou
bclu club club
celu clue clue(14);coupure encaissée entre deux montagnes
bcos cobs cobs
acco coca coca
ccoo coco coco
ccou cocu cocu
acdo coda coda;période finale après un morceau ou final de ballet classique
cdeo code code
cdeo code codé
cefo coef coef*#(21);caché à coefficient
cino coin coin
cior coir coir;mésocarpe (partie charnue du fruit entre l'épiderme et le noyau) de la noix de coco
cios cois cois
ciot coit coït
ceko coke coke;combustible résultant de la distillation de la houille ou familièrement coca-cola
aclo cola cola;(ou kola) arbre de la famille des sterculiacées produisant le kola qui contient des alcaloïdes stimulants ou fruit du kolatier aux propriétés stimulantes ou boisson fabriquée avec ce fruit
cloo colo colo
clos cols cols
clot colt colt
acmo coma coma
cmos coms coms(05)
ceno cone cône
cnos cons cons
cloo cool cool
cops cops cops;enroulement de fils sur un tube cylindrique ou cylindro-conique
coqs coqs coqs
ceor core coré;(ou corê ou korê) statue représentant une jeune fille dans l'Antiquité en Grèce
ceor core corê*;ou coré
cors cors cors
cosy cosy cosy;confortable ou plaisant
ceot cote cote
ceot cote côte
ceot cote coté
ceot cote côté
copu coup coup
coru cour cour
cosu cous cous
cotu cout cout~(12)
cotu cout coût
couv couv couv*#(10);couverture
acnr cran cran
ceer cree créé
cert cret crêt
bcir crib crib;silo grillagé servant au séchage à l'air des épis de maïs
ccir cric cric
ceir crie crié
cimr crim Crim*#(06);criminel
cinr crin crin
cirs cris cris
ccor croc croc
ceru crue crue
crsu crus crus
bceu cube cube
bceu cube cubé;cuber(vt) : mesurer le volume d'air d'un lieu
bciu cubi cubi*#(09);cubitainer (récipient cubique en plastique permettant de transporter du vin)
ccuu cucu cucu*#;(ou cucul) familièrement très niais ou ridicule
ciru cuir cuir
citu cuit cuit
celu cule culé;culer(vt) : faire machine arrière pour un navire ou toucher le fond de la mer avec la quille pour un bateau
clsu culs culs
cpsu cups cups*(21)
ceru cure cure
ceru cure curé
citu cuti cuti;test cutané permettant de déceler certaines maladies ou la sensibilité de l'organisme à ces maladies
cstu cuts cuts(00)
ceuv cuve cuve
ceuv cuve cuvé
acny cyan cyan;de la couleur bleu clair
cemy cyme cyme;inflorescence se terminant par une fleur et portant des tiges secondaires se terminant identiquement comme dans le myosotis
acrz czar czar;(ou tsar ou tzar) titre des souverains de la Russie pré-communiste
aabd daba daba;houe à manche court en Afrique
abde dabe dabe;féminin de dab(parent)
abds dabs dabs
acde dace dace;de la Dacie
aadd dada dada
adhu dahu dahu;animal imaginaire
adim daim daim
adis dais dais;baldaquin
aadl dala DALA(12);déficit androgénique lié à l'âge
adls dals dals*(21)
adem dame dame
adem dame damé
adms dams dams
adns dans dans
ados daos daos
addr dard dard
adir dari dari;forme du persan parlé en Afghanistan
aadt data data*(20);les données numériques
adet date date
adet date daté
adel deal deal(00)
bdes debs debs
bdes debs débs*#(05)
acde deca déca;décaféiné
acde deca deçà
cdei deci déci;décilitre de vin
cdeo deco déco
cdeu decu déçu
defi defi défi
adej deja déjà
adel dela delà;(préposition) plus loin que (ex:porter delà mes mers...)
dels dels DELs(12)
deem deme dème;division administrative dans l'antiquité grecque
deim demi demi
demo demo démo(00);démonstration d'un appareil par ex
dems dems déms*#(05)
dein deni déni
dent dent dent
deos deos déos*#
ders ders ders*
deks desk desk*;secrétariat de rédaction d'un journal par ex
degu deug deug(00)
deux deux deux
desy deys deys
adhl dhal dhal*(21);ou dal
adim diam diam*(01);diamant
adis dias dias#(08)
cdio dico dico
deiu dieu dieu
deim dime dime~(12)
deim dime dîme
dein dine diné~(12)
dein dine dîné
dilo diol diol*;(ou dialcool) substance chimique ayant deux fonctions alcool
diot diot diot(07);saucisse
deir dire dire
deit dite dite
diot dito dito;(adv) déjà dit
dist dits dits
adiv diva diva
deiv dive dive;(ou divine) la dive bouteille
divx divx DivX(12)
cdko dock dock
cdos docs docs
cdou docu docu#(11);documentaire
ddoo dodo dodo
ddou dodu dodu
dego doge doge;chef des anciennes républiques vénitiennes
diot doit doit;(nom) ce qui est dû en comptabilité
djoo dojo dojo;salle d'arts martiaux
delo dole dôle;vin rouge du Valois
delo dole dolé*;doler(vt) : aplanir avec un instrument tranchant
dlos dols dols
demo dome dôme
dmos doms doms
adno dona doña;titre des femmes nobles espagnoles se plaçant devant le prénom
cdno donc donc
dgno dong dông;unité monétaire du Viêt-Nam
dnos dons dons
dnot dont dont
adop dopa dopa*;acide aminé
deop dope dope
deop dope dopé
deor dore doré
deos dose dose
deos dose dosé
deot dote doté
dost dots dots
deou doue doué
dfou douf douf*(21);chaud ou étouffant en Belgique ou qui a la voix aussi puissante qu’envoûtante (= daf)
dmou doum doum;palmier d'Egypte et d'Arabie
doux doux doux
adox doxa doxa(07);ensemble des opinions admises dans une société donnée
adgr drag drag*;course voisine de la chasse à courre
adpr drap drap
dmor drom drom(05);département et région d'outre-mer
dopr drop drop;au rugby coup de pied de demi-volée envoyant la balle par-dessus la barre du but adverse et entre les poteaux
deru drue drue
drsu drus drus
drsy drys drys*
adlu dual dual;constitué de deux unités ou deux ensembles réciproques et en interaction
bdsu dubs dubs(12)
cdeu duce duce;titre de Benito Mussolini ou argotiquement signe donné pour prévenir
cdsu ducs ducs
delu duel duel
desu dues dues
ditu duit duit;chaussée en travers d'une rivière pour arrêter le poisson
denu dune dune
dosu duos duos
depu dupe dupe
depu dupe dupé
deru dure dure
deru dure duré
drsu durs durs
deky dyke dyke;roche éruptive
deny dyne dyne*;ancienne unité de mesure de force
aeux eaux eaux
ceeh eche èche*;(ou esche) appât
ceeh eche éché*;écher ou escher (vt) : amorcer un hameçon
ceho echo écho
