OLPLNAIDNEA (9) | palladien, pendillon (lanoline)
MEAPEASIRTN (10)| méprisante,apaisement,paramnésie[amarinées+P]
IEADAMPREUT (10)| préadamite (audimètre,médiateur[diamètre+U],dépiauter,eupatride[dépatrié+U],pétauridé(nm))
VALEEGUANAE (9) | aveugle-né[enlevage+U]
AEEGUREVUQN (8) | envergué(vt),engravée(vt)
LEAANYECLCE (8) | cyanelle
EHVUIUFCDAR (8) | faucheur (chiader,réchaud,fraiche,archivé,chaviré(vt),chauvir(vi))
OHECOIMTEUL (10)| leucotomie (x) ((cholémie,melchite,émouchet,moucheté(vt)))
NVERROCETOU (10)| controuvée(adj) (encroûter,recouvert)
RENAVAERLOA (10)| aéronavale(al(s)) (x) ((ravenala,aloe vera))
PIASRLSAISO (10)| paroissial (psoriasis) ((parasols,plaisirs,lissoirs,pissoirs)
ROEDLIEEBLE (9) | délibérée (délébile,rebellée,(h)ellébore,déreelle,oeillère)
CLUMAEAPFSE (9) | pause-café (pl:pauses-café),palmacées(nf)[clampées+A(vt)]
ELSIEVTROEV (10)| virevoltes,lève-vitres[téléviser+V]
RIEUEETDODM (10)| eudiomètre (x)
AHIIENAVIRO (8) | ivoirien,ivoirine
QNUUSIOUREB (11)| bouquineurs (x) ((bouquinés/er,uroniques,rouquines))
VINEUXSNIAS (9) | vénissian(e),aunisiens,saviniens
MTTIEOINELO (10)| étoilement,étiolement (télénomie[entoilé+M])
OHENVUROISL (9) | révulsion[violeurs+N]
EUDOITQCEQV (8) | oviducte (coédité,eutocie,coqueté(vi),védique)
REURLLOTEND (9) | détourner[dérouter+N]
ELNONIDSRUA (10)| nodulaires[laiderons+U]
ETOISTEAGAU (9) | tatouages,agioteuse(eur)
BSAOEUERRSP (10)| repose-bras,bourrassée(vt)[rabrouées+S(vt)]
ETSAIERENSE (10)| éternisées,intéressée[éreintées+S]
HXDIDIYBORE (7) | hybridé(vt),bioxyde,dioxyde
IEURTSAUIMG (9) | mitigeurs(nm),aiguiseur(euse)
OENTRVZTEIE (9) | entrevoie[orientée+V]
UUSECOEEHPR (9) | prêcheuse(eur),percheuse(eur),recoupées,surcoupée(vt)
CVSLATIBEUL (11)| cultivables (x) ((cubitales)) (((cultivés,alucites,vacuités,...)))
TAVLIIUVODE (8) | dilutive,auditive,validité,volitive(if)
UINEERCEVEN (8) | incurvée,innervée,vénérien
EDEUSDAEMUR (9) | émeraudes[demeures,démesuré+A]
PUPTLOUMAOS (7) | tamouls,poutous,populos
IDTVSFCAAER (10)| adversatif (façadiers(ère),caviardés(vt+caviardage))
CDERUNASEL (9) | reculades, esclandre, enlaçures
ENATINELUM (9) | manuéline(in)[aluminé+N],linéament(nm)[malienne+T],maintenue
TETERACUSE (9) | caserette, sectateur(trice)
ETEVODIGAN (8) | négative,déviante,envidage,vidangée
OCOHUSALEF (8) | faluches
SOPIRITAGO (8) | parigots(ote) (agrotis(inv),portais°,pragois(ou guois))
CETASUPUJI (8) | cajeputs (acuités,auspice,capités(adj),jaciste,justice,pactisé(vi))
IRASEREDAL (9) | airedales, ladreries, saladerie
IDELIMEFAN (10)| demi-finale (x) ((demi-fin(e,s),enfilade,enlaidie,infidèle,lamifiée(adj)))
MUNATENAVE (8) | avenante (amenant,manteau,nuement(ou nûment),vanneau,venante(adj))
ARIPENEMOC (9) | émanciper
EGOSURUHAV (8) | sévrouga(ou sevruga), ouvragés(vt)
ELILASANON (9) | lanolines,sonnaillé(vi),sonnaille (alanines,alnélois°,sillonné(vt))
SILOTUMURU (8) | surmulot (tumulus(inv, pl : tumuli(inv))
ISEMERELUM (9) | meulières(nf),muselière(nf) (emmurées,lumières,mémérisé(vt),relieuse(nf))
NENICELODA (10)| calédonien (indolence)
IABENOSARE (10)| anaérobies (béarnaise°)
GENENIHURA (8) | argienne°,angérien°,engainer(vt),ennuager(vt),rengainé(vt)
